MCMC: iteration: 1, test suite size: 1, the method coverage: 0.5, the elapsed time: 0.21746551666666666
MCMC: iteration: 2, test suite size: 6, the method coverage: 0.5, the elapsed time: 0.8036952500000001
MCMC: iteration: 3, test suite size: 1, the method coverage: 0.5, the elapsed time: 0.98754615
MCMC: iteration: 4, test suite size: 7, the method coverage: 0.5, the elapsed time: 1.4228203166666666
MCMC: iteration: 5, test suite size: 4, the method coverage: 0.5, the elapsed time: 1.8081706833333333
MCMC: iteration: 6, test suite size: 1, the method coverage: 0.5, the elapsed time: 1.9918533666666667
MCMC: iteration: 7, test suite size: 3, the method coverage: 0.5, the elapsed time: 2.2424794666666665
MCMC: iteration: 8, test suite size: 10, the method coverage: 0.5, the elapsed time: 2.9791392
MCMC: iteration: 9, test suite size: 9, the method coverage: 0.5, the elapsed time: 3.5985321333333333
MCMC: iteration: 10, test suite size: 3, the method coverage: 0.5, the elapsed time: 3.866192583333333
MCMC: iteration: 11, test suite size: 6, the method coverage: 0.5, the elapsed time: 4.2680168499999995
MCMC: iteration: 12, test suite size: 10, the method coverage: 0.5, the elapsed time: 4.804151816666666
MCMC: iteration: 13, test suite size: 6, the method coverage: 0.5, the elapsed time: 5.155540916666666
MCMC: iteration: 14, test suite size: 5, the method coverage: 0.5, the elapsed time: 5.490317533333334
MCMC: iteration: 15, test suite size: 5, the method coverage: 0.5, the elapsed time: 5.992365166666667
MCMC: iteration: 16, test suite size: 7, the method coverage: 0.5, the elapsed time: 6.410781966666667
MCMC: iteration: 17, test suite size: 1, the method coverage: 0.5, the elapsed time: 6.594648766666666
MCMC: iteration: 18, test suite size: 2, the method coverage: 0.5, the elapsed time: 6.811835716666667
MCMC: iteration: 19, test suite size: 2, the method coverage: 0.5, the elapsed time: 7.012350866666667
MCMC: iteration: 20, test suite size: 11, the method coverage: 0.5, the elapsed time: 7.598636616666667
MCMC: iteration: 21, test suite size: 5, the method coverage: 0.5, the elapsed time: 8.0840464
MCMC: iteration: 22, test suite size: 2, the method coverage: 0.5, the elapsed time: 8.301215466666667
MCMC: iteration: 23, test suite size: 3, the method coverage: 0.5, the elapsed time: 8.585400349999999
MCMC: iteration: 24, test suite size: 6, the method coverage: 0.5, the elapsed time: 9.171295166666665
MCMC: iteration: 25, test suite size: 2, the method coverage: 0.5, the elapsed time: 9.371748916666666
MCMC: iteration: 26, test suite size: 11, the method coverage: 0.5, the elapsed time: 10.074977950000001
MCMC: iteration: 27, test suite size: 2, the method coverage: 0.5, the elapsed time: 10.292262200000001
MCMC: iteration: 28, test suite size: 4, the method coverage: 0.5, the elapsed time: 10.59367405
MCMC: iteration: 29, test suite size: 5, the method coverage: 0.5, the elapsed time: 10.928058866666667
MCMC: iteration: 30, test suite size: 6, the method coverage: 0.5, the elapsed time: 11.32942375
MCMC: iteration: 31, test suite size: 7, the method coverage: 0.5, the elapsed time: 11.748008816666667
MCMC: iteration: 32, test suite size: 5, the method coverage: 0.5, the elapsed time: 12.08243695
MCMC: iteration: 33, test suite size: 8, the method coverage: 0.5, the elapsed time: 12.567812466666668
MCMC: iteration: 34, test suite size: 3, the method coverage: 0.5, the elapsed time: 12.952771033333333
MCMC: iteration: 35, test suite size: 3, the method coverage: 0.5, the elapsed time: 13.203458733333333
MCMC: iteration: 36, test suite size: 3, the method coverage: 0.5, the elapsed time: 13.487795799999999
MCMC: iteration: 37, test suite size: 2, the method coverage: 0.5, the elapsed time: 13.704872133333334
MCMC: iteration: 38, test suite size: 7, the method coverage: 0.5, the elapsed time: 14.307375533333333
MCMC: iteration: 39, test suite size: 10, the method coverage: 0.5, the elapsed time: 14.8766473
MCMC: iteration: 40, test suite size: 4, the method coverage: 0.5, the elapsed time: 15.161098566666668
MCMC: iteration: 41, test suite size: 11, the method coverage: 0.5, the elapsed time: 15.7310396
MCMC: iteration: 42, test suite size: 3, the method coverage: 0.5, the elapsed time: 15.981918583333334
MCMC: iteration: 43, test suite size: 1, the method coverage: 0.5, the elapsed time: 16.165624016666666
MCMC: iteration: 44, test suite size: 9, the method coverage: 0.5, the elapsed time: 16.651176366666665
MCMC: iteration: 45, test suite size: 2, the method coverage: 0.5, the elapsed time: 16.851803016666665
