MCMC: iteration: 1, test suite size: 3, the method coverage: 0.5, the elapsed time: 0.4525840666666667
MCMC: iteration: 2, test suite size: 2, the method coverage: 0.5, the elapsed time: 0.8542381
MCMC: iteration: 3, test suite size: 3, the method coverage: 0.5, the elapsed time: 1.2559133333333332
MCMC: iteration: 4, test suite size: 1, the method coverage: 0.5, the elapsed time: 1.4398149833333334
MCMC: iteration: 5, test suite size: 1, the method coverage: 0.5, the elapsed time: 1.6570377333333333
MCMC: iteration: 6, test suite size: 2, the method coverage: 0.5, the elapsed time: 1.9414846
MCMC: iteration: 7, test suite size: 5, the method coverage: 0.5, the elapsed time: 2.59457985
MCMC: iteration: 8, test suite size: 1, the method coverage: 0.5, the elapsed time: 2.8116488833333335
MCMC: iteration: 9, test suite size: 7, the method coverage: 0.5, the elapsed time: 3.6488732500000003
MCMC: iteration: 10, test suite size: 4, the method coverage: 0.5, the elapsed time: 4.268172916666667
MCMC: iteration: 11, test suite size: 2, the method coverage: 0.5, the elapsed time: 4.5356644
MCMC: iteration: 12, test suite size: 5, the method coverage: 0.5, the elapsed time: 5.339716733333334
MCMC: iteration: 13, test suite size: 5, the method coverage: 0.5, the elapsed time: 5.95883305
MCMC: iteration: 14, test suite size: 1, the method coverage: 0.5, the elapsed time: 6.226189700000001
MCMC: iteration: 15, test suite size: 7, the method coverage: 0.5, the elapsed time: 7.0634855
MCMC: iteration: 16, test suite size: 5, the method coverage: 0.5, the elapsed time: 7.665899
MCMC: iteration: 17, test suite size: 2, the method coverage: 0.5, the elapsed time: 8.000778983333333
MCMC: iteration: 18, test suite size: 1, the method coverage: 0.5, the elapsed time: 8.268123833333332
MCMC: iteration: 19, test suite size: 2, the method coverage: 0.5, the elapsed time: 8.669862966666667
MCMC: iteration: 20, test suite size: 2, the method coverage: 0.5, the elapsed time: 8.987732166666666
MCMC: iteration: 21, test suite size: 4, the method coverage: 0.5, the elapsed time: 9.439892366666667
MCMC: iteration: 22, test suite size: 3, the method coverage: 0.5, the elapsed time: 9.95920445
MCMC: iteration: 23, test suite size: 1, the method coverage: 0.5, the elapsed time: 10.293796383333333
MCMC: iteration: 24, test suite size: 1, the method coverage: 0.5, the elapsed time: 10.544528666666668
MCMC: iteration: 25, test suite size: 2, the method coverage: 0.5, the elapsed time: 11.113851333333335
MCMC: iteration: 26, test suite size: 2, the method coverage: 0.5, the elapsed time: 11.414982133333332
MCMC: iteration: 27, test suite size: 2, the method coverage: 0.5, the elapsed time: 11.983862066666667
MCMC: iteration: 28, test suite size: 3, the method coverage: 0.5, the elapsed time: 12.703547783333333
MCMC: iteration: 29, test suite size: 1, the method coverage: 0.5, the elapsed time: 12.970758383333333
MCMC: iteration: 30, test suite size: 1, the method coverage: 0.5, the elapsed time: 13.187998850000001
MCMC: iteration: 31, test suite size: 1, the method coverage: 0.5, the elapsed time: 13.472422133333334
MCMC: iteration: 32, test suite size: 1, the method coverage: 0.5, the elapsed time: 13.672850133333332
MCMC: iteration: 33, test suite size: 1, the method coverage: 0.5, the elapsed time: 13.940539383333334
MCMC: iteration: 34, test suite size: 1, the method coverage: 0.5, the elapsed time: 14.15779965
MCMC: iteration: 35, test suite size: 3, the method coverage: 0.5, the elapsed time: 14.693615716666667
MCMC: iteration: 36, test suite size: 1, the method coverage: 0.5, the elapsed time: 14.877472116666667
MCMC: iteration: 37, test suite size: 10, the method coverage: 0.5, the elapsed time: 16.151161666666667
MCMC: iteration: 38, test suite size: 2, the method coverage: 0.5, the elapsed time: 16.435477533333334
MCMC: iteration: 39, test suite size: 6, the method coverage: 0.5, the elapsed time: 17.0720976
MCMC: iteration: 40, test suite size: 5, the method coverage: 0.5, the elapsed time: 17.557281816666666
MCMC: iteration: 41, test suite size: 1, the method coverage: 0.5, the elapsed time: 18.176521816666664
MCMC: iteration: 42, test suite size: 1, the method coverage: 0.5, the elapsed time: 18.393884133333334
MCMC: iteration: 43, test suite size: 5, the method coverage: 0.5, the elapsed time: 18.97958505
MCMC: iteration: 44, test suite size: 5, the method coverage: 0.5, the elapsed time: 19.515556733333334
MCMC: iteration: 45, test suite size: 8, the method coverage: 0.5, the elapsed time: 20.588225933333334
MCMC: iteration: 46, test suite size: 1, the method coverage: 0.5, the elapsed time: 20.839039183333334
MCMC: iteration: 47, test suite size: 5, the method coverage: 0.5, the elapsed time: 21.542195933333335
MCMC: iteration: 48, test suite size: 1, the method coverage: 0.5, the elapsed time: 21.86023845
MCMC: iteration: 49, test suite size: 3, the method coverage: 0.5, the elapsed time: 22.211841566666667
MCMC: iteration: 50, test suite size: 2, the method coverage: 0.5, the elapsed time: 22.512884966666665
MCMC: iteration: 51, test suite size: 5, the method coverage: 0.5, the elapsed time: 23.081979433333334
MCMC: iteration: 52, test suite size: 1, the method coverage: 0.5, the elapsed time: 23.449718233333332
MCMC: iteration: 53, test suite size: 3, the method coverage: 0.5, the elapsed time: 23.90208705
MCMC: iteration: 54, test suite size: 2, the method coverage: 0.5, the elapsed time: 24.236694833333335
MCMC: iteration: 55, test suite size: 1, the method coverage: 0.5, the elapsed time: 24.7052334
MCMC: iteration: 56, test suite size: 1, the method coverage: 0.5, the elapsed time: 24.95587635
MCMC: iteration: 57, test suite size: 4, the method coverage: 0.5, the elapsed time: 25.7095083
MCMC: iteration: 58, test suite size: 3, the method coverage: 0.5, the elapsed time: 26.24536325
MCMC: iteration: 59, test suite size: 2, the method coverage: 0.5, the elapsed time: 26.57972008333333
MCMC: iteration: 60, test suite size: 1, the method coverage: 0.5, the elapsed time: 26.796951116666666
MCMC: iteration: 61, test suite size: 4, the method coverage: 0.5, the elapsed time: 27.332918366666668
MCMC: iteration: 62, test suite size: 3, the method coverage: 0.5, the elapsed time: 27.701345
MCMC: iteration: 63, test suite size: 5, the method coverage: 0.5, the elapsed time: 28.220496949999998
MCMC: iteration: 64, test suite size: 1, the method coverage: 0.5, the elapsed time: 28.4377624
MCMC: iteration: 65, test suite size: 2, the method coverage: 0.5, the elapsed time: 28.722266483333332
MCMC: iteration: 66, test suite size: 3, the method coverage: 0.5, the elapsed time: 29.140659766666666
MCMC: iteration: 67, test suite size: 2, the method coverage: 0.5, the elapsed time: 29.62590135
MCMC: iteration: 68, test suite size: 4, the method coverage: 0.5, the elapsed time: 30.245284883333333
MCMC: iteration: 69, test suite size: 1, the method coverage: 0.5, the elapsed time: 30.512951216666668
MCMC: iteration: 70, test suite size: 2, the method coverage: 0.5, the elapsed time: 30.830800033333333
MCMC: iteration: 71, test suite size: 10, the method coverage: 0.5, the elapsed time: 31.885154033333333
MCMC: iteration: 72, test suite size: 1, the method coverage: 0.5, the elapsed time: 32.219735916666664
MCMC: iteration: 73, test suite size: 2, the method coverage: 0.5, the elapsed time: 32.8389516
MCMC: iteration: 74, test suite size: 1, the method coverage: 0.5, the elapsed time: 33.05617185
MCMC: iteration: 75, test suite size: 5, the method coverage: 0.5, the elapsed time: 33.659154066666666
MCMC: iteration: 76, test suite size: 4, the method coverage: 0.5, the elapsed time: 34.1278478
MCMC: iteration: 77, test suite size: 10, the method coverage: 0.5, the elapsed time: 35.16554655
MCMC: iteration: 78, test suite size: 3, the method coverage: 0.5, the elapsed time: 35.567078216666665
MCMC: iteration: 79, test suite size: 2, the method coverage: 0.5, the elapsed time: 35.90179735
